id,name,type,description,aliases,first_seen_chapter,first_seen_act,occurrence_count,chapter_number,act_number
character_0,温柔的女声,Character,在剧情中出现，关心主角的女声,温柔的女声,第0章,第1幕,1,,
character_1,元气的女声,Character,在剧情中出现，充满活力的女声,元气的女声,第0章,第1幕,1,,
character_2,炽霞,Character,角色之一，与秧秧一起出现,马小芳,第0章,第1幕,9,,
character_3,秧秧,Character,角色之一，与炽霞一起出现,,第0章,第1幕,12,,
location_4,云陵谷,Location,今州城边地野外,,第0章,第1幕,3,,
location_5,今州城,Location,瑝珑属下的城市,,第0章,第1幕,4,,
location_6,瑝珑,Location,共有一庭六州的地方,,第0章,第1幕,1,,
item_7,葫芦（盘古终端）,Item,失去信号的通讯工具,葫芦|终端,第0章,第1幕,1,,
character_8,今州岁主「角」,Character,今州的岁主，龙形,角,第0章,第1幕,1,,
character_9,白芷,Character,与炽霞和秧秧一起行动的角色,,第0章,第1幕,5,,
item_10,信标,Item,具有防护作用的设备,,第0章,第1幕,1,,
item_11,伞翼模块,Item,终端里的模块，用于通过高度落差,,第0章,第1幕,1,,
location_12,天空海,Location,影响通讯和形成无音区的地方,,第0章,第1幕,1,,
event_13,无音区,Event,由天空海影响形成的危险区域,,第0章,第1幕,1,,
chapter_14,第0章《序章》第1幕《万象新声 · 上》,Chapter,序章 - 万象新声 · 上,,,,1,0,1
location_15,边庭,Location,今州的政治中心和类书所在地,,第0章,第2幕,4,,
organization_16,研究院,Organization,白芷需要返回的地方，也是漂泊者需要去检查身体的地方,,第0章,第2幕,2,,
character_17,漂泊者,Character,炽霞和秧秧讨论的对象，需要进行身体检查,,第0章,第2幕,19,,
location_18,无音区,Location,白芷提到的地点，正在复苏,,第0章,第2幕,3,,
event_19,海蚀,Event,白芷提到的频发现象,,第0章,第2幕,1,,
item_20,声骸,Item,炽霞通过吸收残响获得的物品,,第0章,第2幕,1,,
item_21,终端,Item,炽霞使用的设备，用于吸收声骸,,第0章,第2幕,1,,
location_22,中枢信标,Location,炽霞提议带漂泊者去登记的地方,,第0章,第2幕,3,,
event_23,太平乐,Event,今州城内的一种娱乐活动,,第0章,第2幕,1,,
event_24,英雄戏,Event,今州城内的一种娱乐活动,,第0章,第2幕,1,,
event_25,折子书,Event,今州城内的一种娱乐活动,,第0章,第2幕,1,,
event_26,拳道赛,Event,今州城内的一种娱乐活动,,第0章,第2幕,1,,
chapter_27,第0章《序章》第2幕《万象新声 · 下》,Chapter,序章 - 万象新声 · 下,,,,1,0,2
entity_28,云陵谷异变,Entity,,,,,1,,
entity_29,无音区复苏,Entity,,,,,1,,
entity_30,海蚀现象频发,Entity,,,,,1,,
character_31,发愁的角斗士,Character,在狩猎者营地中与谕女对话的角色,,第2章,第12幕,1,,
character_32,不满的谕女,Character,在狩猎者营地中与角斗士对话的角色,,第2章,第12幕,1,,
character_33,心情沉重的老者,Character,在狩猎者营地中回忆过去的角色,,第2章,第12幕,1,,
character_34,小卡尤斯,Character,在狩猎者营地中与荣誉加身的角斗士互动的角色,,第2章,第12幕,1,,
character_35,荣誉加身的角斗士,Character,在狩猎者营地中与小卡尤斯互动的角色,,第2章,第12幕,1,,
character_36,初出茅庐的角斗士,Character,在狩猎者营地中与沉稳的角斗士对话的角色,,第2章,第12幕,1,,
character_37,沉稳的角斗士,Character,在狩猎者营地中与初出茅庐的角斗士对话的角色,,第2章,第12幕,1,,
character_38,热情的商贩,Character,在狩猎者营地中提供饮品的角色,,第2章,第12幕,1,,
character_39,礼官布里奥,Character,在庆典中邀请漂泊者作为筹花人的角色,,第2章,第12幕,1,,
character_40,奥古斯塔,Character,被提及的角色，原本会和礼官布里奥一起迎接漂泊者,,第2章,第12幕,3,,
location_41,狩猎者营地,Location,故事发生的主要地点,,第2章,第12幕,1,,
item_42,太阳碎片,Item,老者提到的物品,,第2章,第12幕,1,,
item_43,徽章,Item,荣誉加身的角斗士提到的物品,,第2章,第12幕,1,,
item_44,冰川水酿的雪酒,Item,热情的商贩提供的饮品之一,,第2章,第12幕,1,,
item_45,熔岩熏煮的热酿,Item,热情的商贩提供的饮品之一,,第2章,第12幕,1,,
item_46,玫瑰,Item,筹花人分发的象征荣耀与凯旋的物品,,第2章,第12幕,1,,
organization_47,元老院,Organization,礼官布里奥提到的组织,,第2章,第12幕,2,,
location_48,七丘,Location,被多次提及的地点,,第2章,第12幕,6,,
event_49,黑潮,Event,被提及的事件,,第2章,第12幕,3,,
character_50,神王,Character,被提及的角色，已死,,第2章,第12幕,1,,
character_51,英雄王,Character,新诞生的王，庆典为其举办,,第2章,第12幕,1,,
character_52,莉莉贝婆婆,Character,被提及的角色，可能是谕女的前任,,第2章,第12幕,1,,
character_53,尤诺,Character,被提及的角色，可能是莉莉贝婆婆的天才继任者,,第2章,第12幕,1,,
character_54,谕女,Character,在庆典上诵读的角色,,第2章,第12幕,1,,
chapter_55,第2章《第二章》第12幕《今夜，注定属于月亮》,Chapter,第二章 - 今夜，注定属于月亮,,,,1,2,12
character_56,琳奈,Character,星炬学院的学生，自由研究课题需要收集虚诞虫的生态数据，也为了测试新改装好的摩托性能而出现在虚诞虫活跃区,小琳奈,第3章,第2幕,3,,
location_57,星炬学院,Location,琳奈和漂泊者所在的学院，拥有中枢信标和医务室等设施,,第3章,第2幕,2,,
location_58,医务室,Location,星炬学院内的医务室，用于检查学生的身体情况,,第3章,第2幕,1,,
item_59,虚诞虫,Item,活跃在星炬学院附近的生物，与漂泊者的频率紊乱有关,,第3章,第2幕,1,,
character_60,阿布,Character,漂泊者的同伴，与漂泊者一起前往医务室,,第3章,第2幕,15,,
character_61,千咲,Character,漂泊者的朋友，穿过空间隧道后与漂泊者在星炬学院重逢,,第3章,第2幕,3,,
character_62,N.A.N.A.,Character,星炬学院医务室的工作人员，负责检查学生的身体情况,,第3章,第2幕,1,,
character_63,阿莱谢夫教授,Character,星炬学院的教授，与琳奈有小组作业汇报的任务,,第3章,第2幕,1,,
location_64,拉海洛,Location,琳奈和漂泊者所在的地区，漂泊者在此地被琳奈撞到,,第3章,第2幕,3,,
location_65,黑海岸,Location,漂泊者来自的地方,,第3章,第2幕,5,,
location_66,穗波市,Location,千咲之前所在的城市，漂泊者曾在收音机里听到过千咲的声音,,第3章,第2幕,4,,
chapter_67,第3章《第三章》第2幕《冰原下的星炬》,Chapter,第三章 - 冰原下的星炬,,,,1,3,2
character_68,忌炎,Character,将军，与哥舒临将军对话，讨论战斗的目的和牺牲的意义,将军,第1章,第6幕,3,,
character_69,夜归士兵,Character,向忌炎将军报告士兵情况和抗溯洄雨药剂的效果,,第1章,第6幕,1,,
character_70,哥舒临,Character,与忌炎将军讨论战斗的目的和牺牲的意义,,第1章,第6幕,1,,
character_71,军士,Character,向忌炎将军报告装备修理和黑石武器校准情况，以及随行军医的建议,,第1章,第6幕,1,,
location_72,今州,Location,用于抵御溯洄雨的防御工事所在地,,第1章,第6幕,5,,
location_73,北落野,Location,忌炎将军计划进军的地点,,第1章,第6幕,4,,
item_74,抗溯洄雨药剂,Item,研究院配备的药剂，减少士兵的幻觉感,,第1章,第6幕,1,,
item_75,黑石武器,Item,已分发给共鸣者的武器，与防护罩和残象潮有关,,第1章,第6幕,1,,
item_76,防护罩,Item,今州用于抵御溯洄雨的防御工事,,第1章,第6幕,1,,
organization_77,天工,Organization,桃祈所属的组织，负责处理与边防工事相关的事务,,第1章,第6幕,1,,
character_78,桃祈,Character,天工的事务长，负责处理与边防工事相关的事务,,第1章,第6幕,1,,
character_79,秋水,Character,解释溯洄雨和残象潮的关系，以及今州的隐患,,第1章,第6幕,3,,
character_80,今汐,Character,通过通讯指导人们有序避险,,第1章,第6幕,4,,
event_81,弯刀之役,Event,与当前景象相似的历史事件,,第1章,第6幕,2,,
event_82,残象潮,Event,由溯洄雨造成的事件，导致防护罩受损,,第1章,第6幕,1,,
event_83,角的预言,Event,提到月相完满之时，漂泊之人归来的预言,,第1章,第6幕,1,,
chapter_84,第1章《第一章》第6幕《千里卷戎旌 · 上》,Chapter,第一章 - 千里卷戎旌 · 上,,,,1,1,6
character_85,鉴心,Character,在北落峡谷中提出断后的角色,,第1章,第7幕,1,,
location_86,北落峡谷,Location,故事发生的主要地点之一,,第1章,第7幕,1,,
location_87,悬浮废墟,Location,故事发生的主要地点之一,,第1章,第7幕,1,,
character_88,无相燹主,Character,被忌炎提及的势力领袖,,第1章,第7幕,1,,
organization_89,夜归军,Organization,被忌炎提及的军队，拥有特定的剑术,,第1章,第7幕,2,,
character_90,无冠者,Character,在悬浮废墟中被击败的敌人,,第1章,第7幕,2,,
character_91,无妄者·绝灭的兵刃,Character,在悬浮废墟中被击败的怪物,,第1章,第7幕,1,,
item_92,月亮,Item,被忌炎提及的可能为敌人核心的物品,,第1章,第7幕,1,,
item_93,龙枪,Item,被忌炎提及的武器，被敌人复制,,第1章,第7幕,1,,
character_94,凿空,Character,被忌炎提及的角色，拥有创造道路的能力,,第1章,第7幕,1,,
chapter_95,第1章《第一章》第7幕《千里卷戎旌 · 下》,Chapter,第一章 - 千里卷戎旌 · 下,,,,1,1,7
character_96,令尹,Character,今州的州主，与漂泊者有约见,,第1章,第1幕,2,,
character_97,散华,Character,令尹的贴身近卫，与漂泊者有对话,,第1章,第1幕,2,,
item_98,全域通讯留言,Item,可以提前录制的通讯留言,,第1章,第1幕,1,,
item_99,信物,Item,令尹留给漂泊者的物品，作为凭证和信号,,第1章,第1幕,1,,
chapter_100,第1章《第一章》第1幕《嘤鸣初相召》,Chapter,第一章 - 嘤鸣初相召,,,,1,1,1
location_101,埃格拉小镇,Location,阿布提到的适合起飞的地点,,第2章,第6幕,1,,
character_102,夏空,Character,流浪的吟游诗人，与漂泊者对话,,第2章,第6幕,2,,
character_103,珂莱塔,Character,与漂泊者对话的角色，提到翡萨烈家主,,第2章,第6幕,2,,
location_104,波蒂维诺堡,Location,漂泊者被邀请前往的地点,,第2章,第6幕,1,,
character_105,赛巴斯,Character,在波蒂维诺堡的角色，去通知家主,,第2章,第6幕,1,,
character_106,坎特蕾拉,Character,翡萨烈第36任家主，与漂泊者有对话,坎特蕾拉·翡萨烈,第2章,第6幕,4,,
character_107,吉尔贝,Character,被提及的角色，精神状况被讨论,,第2章,第6幕,3,,
location_108,拉古那,Location,被提及的地点，现状被讨论,,第2章,第6幕,7,,
location_109,瑝珑今州,Location,茶的来源地，被漂泊者提及,,第2章,第6幕,1,,
location_110,索诺拉,Location,与翡萨烈地底直通的地点,,第2章,第6幕,6,,
location_111,阿维纽林,Location,第二次黑潮的发生地点，最大的神学院,,第2章,第6幕,2,,
item_112,提尔芬,Item,坎特蕾拉尝试与之共鸣的物品,,第2章,第6幕,1,,
character_113,卡提希娅,Character,被提及的角色，可能与第二次黑潮有关,,第2章,第6幕,8,,
character_114,岁主,Character,被提及的神秘角色，与黑潮有关,英白拉多,第2章,第6幕,3,,
character_115,角,Character,被提及的角色，今州的岁主,,第2章,第6幕,2,,
item_116,咕咕河豚,Item,在遗址中出现的生物,,第2章,第6幕,1,,
chapter_117,第2章《第二章》第6幕《圣者，忤逆者，告死者》,Chapter,第二章 - 圣者，忤逆者，告死者,,,,1,2,6
character_118,赞妮,Character,银行员工,,第2章,第3幕,2,,
character_119,诺亚,Character,声骸船,,第2章,第3幕,1,,
character_120,守门人,Character,埃弗拉德金库的守门人,,第2章,第3幕,1,,
location_121,埃弗拉德金库,Location,金库地点,,第2章,第3幕,2,,
event_122,声骸失控事件,Event,在狂欢节预演上发生的事件,,第2章,第3幕,1,,
organization_123,莫塔里家族,Organization,家族组织,,第2章,第3幕,3,,
character_124,珂莱塔·莫塔里,Character,莫塔里家族的次女,珂莱塔,第2章,第3幕,1,,
organization_125,翡萨烈家族,Organization,家族组织,,第2章,第3幕,1,,
organization_126,隐海修会,Organization,组织,,第2章,第3幕,1,,
organization_127,残星会,Organization,组织,,第2章,第3幕,7,,
character_128,激动的造匠,Character,残星会成员,,第2章,第3幕,1,,
character_129,混乱的造匠,Character,残星会成员,,第2章,第3幕,1,,
item_130,珠宝套装,Item,珂莱塔要求赞妮准备的物品,,第2章,第3幕,1,,
item_131,香水,Item,珂莱塔要求赞妮准备的物品,,第2章,第3幕,1,,
location_132,化妆间,Location,地点,,第2章,第3幕,1,,
character_133,科波拉先生,Character,珂莱塔的叔父，负责狂欢节相关事务,,第2章,第3幕,1,,
chapter_134,第2章《第二章》第3幕《夜与昼，均请摘下面纱》,Chapter,第二章 - 夜与昼，均请摘下面纱,,,,1,2,3
location_135,祈池村,Location,故事发生的村庄,,第1章,第3幕,2,,
item_136,残破的木牌,Item,特殊仪式使用的木牌,,第1章,第3幕,1,,
character_137,奇怪的残象,Character,发出求救信号的残象,,第1章,第3幕,1,,
organization_138,炽霞,Organization,秧秧要同步告知的组织,,第1章,第3幕,1,,
organization_139,造匠,Organization,残星会中的边缘成员,,第1章,第3幕,1,,
organization_140,会监,Organization,残星会的领导者,,第1章,第3幕,1,,
character_141,伤痕,Character,残星会会监之一，残忍变态的疯子,,第1章,第3幕,3,,
chapter_142,第1章《第一章》第3幕《奔策候残星》,Chapter,第一章 - 奔策候残星,,,,1,1,3
character_143,守岸人,Character,与主角通讯并提供信息的角色,,第2章,第1幕,3,,
location_144,泰缇斯,Location,存在底层空间和记录的地方,,第2章,第1幕,1,,
location_145,黎那汐塔,Location,以声骸技术闻名的地方，被称为声骸之国,,第2章,第1幕,4,,
character_146,英白拉多,Character,黎那汐塔岁主的名字,,第2章,第1幕,1,,
character_147,库默尼,Character,在黑海岸负责财务的角色,,第2章,第1幕,1,,
organization_148,埃弗拉德银行,Organization,莫塔里家族准备的启动资金可以在此提取,,第2章,第1幕,1,,
item_149,附带香气的神秘邀请函,Item,莫塔里家族发出的邀请函,,第2章,第1幕,1,,
chapter_150,第2章《第二章》第1幕《如一叶小舟穿行于茫茫海洋》,Chapter,第二章 - 如一叶小舟穿行于茫茫海洋,,,,1,2,1
character_151,布兰特,Character,提到了朋友、情报收集和梦境情况的角色,,第2章,第13幕,2,,
location_152,玛格烈特餐厅,Location,阿布想要去饱餐一顿的地方,,第2章,第13幕,1,,
item_153,文明之匣,Item,岁主留下的重要底层数据封存的匣子,,第2章,第13幕,1,,
character_154,泰缇斯,Character,提到了打不开文明之匣的角色,,第2章,第13幕,1,,
item_155,利维亚坦,Item,打开文明之匣需要借助的力量,,第2章,第13幕,2,,
character_156,黑海岸,Character,提到了拉古那周围海域异常的角色,,第2章,第13幕,1,,
character_157,洛可可,Character,提到了愚人剧团和梦境情况的角色,,第2章,第13幕,2,,
organization_158,愚人剧团,Organization,洛可可和布兰特所属的剧团,,第2章,第13幕,1,,
character_159,克里斯托弗,Character,在幻境中出现，讨论命运的角色,,第2章,第13幕,1,,
item_160,噩梦清醒仪,Item,洛可可提到用来唤醒漂泊者的物品,,第2章,第13幕,1,,
item_161,石碑,Item,上面刻有关于「璀璨擢升之途」和「至福永恒之城」的铭文,,第2章,第13幕,1,,
organization_162,苦信者集群,Organization,在神秘空间中提到的集体,,第2章,第13幕,1,,
location_163,风暴海,Location,提到残象变得更加活跃的地方,,第2章,第13幕,1,,
chapter_164,第2章《第二章》第13幕《已逝的必将归来》,Chapter,第二章 - 已逝的必将归来,,,,1,2,13
entity_165,璀璨擢升之途,Entity,,,,,1,,
entity_166,至福永恒之城,Entity,,,,,1,,
entity_167,代行者,Entity,,,,,1,,
location_168,荒石高地,Location,故事中提到的地点，与残星会有关联,,第1章,第4幕,1,,
character_169,造匠,Character,残星会通过机械改造人类以获取共鸣能力的人,,第1章,第4幕,1,,
item_170,日晷,Item,故事中的关键物品，包含令尹想要传递的信息,,第1章,第4幕,1,,
item_171,瑝珑类书,Item,故事中提到的数据库，包含重要数据资料,,第1章,第4幕,1,,
chapter_172,第1章《第一章》第4幕《庭际刀刃鸣》,Chapter,第一章 - 庭际刀刃鸣,,,,1,1,4
character_173,九思,Character,与阿布和漂泊者交谈的角色,,第1章,第9幕,1,,
character_174,庆祥,Character,与九思和漂泊者交谈的角色,,第1章,第9幕,1,,
location_175,美食街,Location,阿布和漂泊者讨论去吃饭的地方,,第1章,第9幕,1,,
location_176,乘霄山,Location,今州先民的祖地，岁主最近一次现身的地方,龙形的山,第1章,第9幕,3,,
location_177,怨鸟泽,Location,乘霄山在怨鸟泽东面的海上,,第1章,第9幕,1,,
location_178,渡口,Location,引路人可能在的地方,,第1章,第9幕,1,,
chapter_179,第1章《第一章》第9幕《往岁乘霄醒惊蛰》,Chapter,第一章 - 往岁乘霄醒惊蛰,,,,1,1,9
entity_180,引路人,Entity,,,,,1,,
character_181,转播布莱恩,Character,转播员,,第2章,第9幕,1,,
location_182,烈日酒馆,Location,赛事转播的地方,,第2章,第9幕,1,,
organization_183,磕磕撞撞,Organization,连胜二十一场的年轻外来战队,,第2章,第9幕,1,,
organization_184,伏尔甘矿业,Organization,七丘本土的老牌商业战队,,第2章,第9幕,1,,
character_185,黑海岸成员,Character,与漂泊者通讯的角色,,第2章,第9幕,1,,
location_186,颠倒塔,Location,适合卡提希娅休养的地方,,第2章,第9幕,1,,
item_187,英白拉多,Item,与索诺拉的形成有关的物品,,第2章,第9幕,1,,
